start,end,start_station_no,start_station,end_station_no,end_station,bike_no,type
2017-10-08 23:46,2017-10-09 0:10,31288,4th St & Madison Dr NW,31247,Jefferson Dr & 14th St SW,W20529,Member
2017-10-09 0:12,2017-10-09 0:36,31247,Jefferson Dr & 14th St SW,31290,17th St & Independence Ave SW,W20529,Member
2017-10-09 0:37,2017-10-09 0:53,31290,17th St & Independence Ave SW,31258,Lincoln Memorial,W20529,Member
2017-10-09 1:23,2017-10-09 1:48,31258,Lincoln Memorial,31277,17th & G St NW,W20529,Member
2017-10-09 1:49,2017-10-09 2:13,31277,17th & G St NW,31256,10th & E St NW,W20529,Member
2017-10-09 2:14,2017-10-09 2:29,31256,10th & E St NW,31624,North Capitol St & F St NW,W20529,Member
2017-10-09 13:04,2017-10-09 13:13,31114,18th St & Wyoming Ave NW,31212,21st & M St NW,W20529,Member
2017-10-09 14:30,2017-10-09 14:38,31212,21st & M St NW,31116,California St & Florida Ave NW,W20529,Member
2017-10-09 15:06,2017-10-09 15:11,31116,California St & Florida Ave NW,31104,Adams Mill & Columbia Rd NW,W20529,Member
2017-10-09 16:43,2017-10-09 16:45,31104,Adams Mill & Columbia Rd NW,31112,Harvard St & Adams Mill Rd NW,W20529,Member
2017-10-10 15:32,2017-10-10 15:51,31301,Ward Circle / American University,31307,3000 Connecticut Ave NW / National Zoo,W20529,Casual
2017-10-10 16:47,2017-10-10 17:03,31307,3000 Connecticut Ave NW / National Zoo,31201,15th & P St NW,W20529,Member
2017-10-10 17:51,2017-10-10 18:00,31201,15th & P St NW,31238,14th & G St NW,W20529,Member
2017-10-10 18:08,2017-10-10 18:19,31238,14th & G St NW,31285,22nd & P ST NW,W20529,Member
2017-10-10 19:09,2017-10-10 19:14,31285,22nd & P ST NW,31221,18th & M St NW,W20529,Member
2017-10-10 19:17,2017-10-10 19:23,31221,18th & M St NW,31237,25th St & Pennsylvania Ave NW,W20529,Member
2017-10-10 19:28,2017-10-10 19:44,31237,25th St & Pennsylvania Ave NW,31307,3000 Connecticut Ave NW / National Zoo,W20529,Member
