start,end,start_station_no,start_station,end_station_no,end_station,bike_no,type
2017-12-02 19:48,2017-12-02 19:53,31079,Lee Hwy & N Cleveland St,31021,Clarendon Blvd & N Fillmore St,W20529,Member
2017-12-03 14:36,2017-12-03 15:20,31021,Clarendon Blvd & N Fillmore St,31646,Maine Ave & 9th St SW,W20529,Casual
2017-12-03 16:04,2017-12-03 16:25,31646,Maine Ave & 9th St SW,31264,6th St & Indiana Ave NW,W20529,Member
2017-12-03 16:40,2017-12-03 16:43,31264,6th St & Indiana Ave NW,31265,5th St & Massachusetts Ave NW,W20529,Member
2017-12-03 17:20,2017-12-03 18:04,31265,5th St & Massachusetts Ave NW,31265,5th St & Massachusetts Ave NW,W20529,Casual
2017-12-04 8:34,2017-12-04 8:51,31265,5th St & Massachusetts Ave NW,31279,19th & G St NW,W20529,Member
2017-12-04 17:49,2017-12-04 17:53,31279,19th & G St NW,31213,17th & K St NW,W20529,Member
2017-12-04 18:38,2017-12-04 18:50,31213,17th & K St NW,31637,North Capitol St & G Pl NE,W20529,Member
2017-12-04 21:39,2017-12-04 21:46,31637,North Capitol St & G Pl NE,31620,5th & F St NW,W20529,Casual
2017-12-04 21:54,2017-12-04 21:56,31620,5th & F St NW,31264,6th St & Indiana Ave NW,W20529,Member
2017-12-05 8:50,2017-12-05 8:52,31264,6th St & Indiana Ave NW,31621,4th & D St NW / Judiciary Square,W20529,Member
2017-12-06 8:19,2017-12-06 8:24,31621,4th & D St NW / Judiciary Square,31272,Washington & Independence Ave SW/HHS,W20529,Member
2017-12-06 18:19,2017-12-06 18:28,31272,Washington & Independence Ave SW/HHS,31623,Columbus Circle / Union Station,W20529,Member
2017-12-06 18:28,2017-12-06 18:33,31623,Columbus Circle / Union Station,31627,3rd & M St NE,W20529,Member
2017-12-06 20:03,2017-12-06 20:21,31627,3rd & M St NE,31244,4th & E St SW,W20529,Member
2017-12-06 20:36,2017-12-06 20:39,31244,4th & E St SW,31108,4th & M St SW,W20529,Member
2017-12-07 5:54,2017-12-07 6:01,31108,4th & M St SW,31634,3rd & Tingey St SE,W20529,Member
2017-12-08 16:47,2017-12-08 16:55,31634,3rd & Tingey St SE,31609,Maine Ave & 7th St SW,W20529,Member
2017-12-08 19:15,2017-12-08 19:29,31609,Maine Ave & 7th St SW,31608,8th & Eye St SE / Barracks Row,W20529,Casual
2017-12-09 22:39,2017-12-09 22:47,31223,Convention Center / 7th & M St NW,31254,15th & K St NW,W20529,Member
2017-12-09 23:00,2017-12-09 23:05,31254,15th & K St NW,31234,20th & O St NW / Dupont South,W20529,Member
2017-12-10 0:39,2017-12-10 0:56,31234,20th & O St NW / Dupont South,31401,14th St & Spring Rd NW,W20529,Member
2017-12-10 1:02,2017-12-10 1:08,31401,14th St & Spring Rd NW,31602,Park Rd & Holmead Pl NW,W20529,Member
2017-12-10 1:08,2017-12-10 1:11,31602,Park Rd & Holmead Pl NW,31105,14th & Harvard St NW,W20529,Member
2017-12-10 13:49,2017-12-10 13:51,31105,14th & Harvard St NW,31102,11th & Kenyon St NW,W20529,Casual
2017-12-10 15:14,2017-12-10 15:18,31102,11th & Kenyon St NW,31123,14th & Girard St NW,W20529,Casual
2017-12-10 15:31,2017-12-10 15:36,31123,14th & Girard St NW,31229,New Hampshire Ave & T St NW,W20529,Member
2017-12-10 16:20,2017-12-10 16:30,31229,New Hampshire Ave & T St NW,31215,Georgetown Harbor / 30th St NW,W20529,Member
2017-12-10 17:07,2017-12-10 17:14,31215,Georgetown Harbor / 30th St NW,31257,22nd & I St NW / Foggy Bottom,W20529,Member
2017-12-10 17:23,2017-12-10 17:45,31257,22nd & I St NW / Foggy Bottom,31400,Georgia & New Hampshire Ave NW,W20529,Member
2017-12-11 6:17,2017-12-11 6:34,31400,Georgia & New Hampshire Ave NW,31213,17th & K St NW,W20529,Member
2017-12-11 9:08,2017-12-11 9:12,31213,17th & K St NW,31298,15th & M St NW,W20529,Member
2017-12-11 9:15,2017-12-11 9:20,31298,15th & M St NW,31227,13th St & New York Ave NW,W20529,Member
2017-12-12 8:55,2017-12-12 8:59,31514,Hamlin & 7th St NE,31516,Rhode Island Ave Metro,W20529,Member
2017-12-13 17:14,2017-12-13 17:18,31516,Rhode Island Ave Metro,31500,4th & W St NE,W20529,Member
2017-12-13 18:52,2017-12-13 19:00,31500,4th & W St NE,31245,7th & R St NW / Shaw Library,W20529,Member
2017-12-14 9:01,2017-12-14 9:11,31245,7th & R St NW / Shaw Library,31267,17th St & Massachusetts Ave NW,W20529,Member
2017-12-14 9:12,2017-12-14 9:19,31267,17th St & Massachusetts Ave NW,31283,14th & L St NW,W20529,Member
2017-12-14 11:54,2017-12-14 12:02,31283,14th & L St NW,31275,New Hampshire Ave & 24th St NW,W20529,Member
2017-12-14 14:40,2017-12-14 14:44,31275,New Hampshire Ave & 24th St NW,31246,M St & Pennsylvania Ave NW,W20529,Casual
2017-12-14 15:08,2017-12-14 15:26,31246,M St & Pennsylvania Ave NW,31239,Rhode Island & Connecticut Ave NW,W20529,Member
2017-12-14 17:46,2017-12-14 18:09,31239,Rhode Island & Connecticut Ave NW,31615,6th & H St NE,W20529,Member
2017-12-15 9:08,2017-12-15 9:23,31615,6th & H St NE,31634,3rd & Tingey St SE,W20529,Member
2017-12-16 9:33,2017-12-16 9:36,31634,3rd & Tingey St SE,31628,1st & K St SE,W20529,Member
2017-12-16 11:02,2017-12-16 11:05,31628,1st & K St SE,31634,3rd & Tingey St SE,W20529,Member
2017-12-17 10:09,2017-12-17 10:32,31634,3rd & Tingey St SE,31288,4th St & Madison Dr NW,W20529,Member
2017-12-18 8:02,2017-12-18 8:07,31282,16th & R St NW,31276,15th & L St NW,W20529,Member
2017-12-18 16:03,2017-12-18 16:09,31223,Convention Center / 7th & M St NW,31203,14th & Rhode Island Ave NW,W20529,Member
2017-12-18 16:30,2017-12-18 16:53,31203,14th & Rhode Island Ave NW,31638,1st & H St NW,W20529,Member
2017-12-18 19:18,2017-12-18 19:22,31638,1st & H St NW,31265,5th St & Massachusetts Ave NW,W20529,Member
2017-12-18 20:14,2017-12-18 20:17,31265,5th St & Massachusetts Ave NW,31638,1st & H St NW,W20529,Member
2017-12-19 19:14,2017-12-19 19:23,31638,1st & H St NW,31512,Neal St & Trinidad Ave NE,W20529,Member
2017-12-19 19:39,2017-12-19 19:43,31512,Neal St & Trinidad Ave NE,31611,13th & H St NE,W20529,Member
2017-12-20 8:05,2017-12-20 8:10,31611,13th & H St NE,31623,Columbus Circle / Union Station,W20529,Member
2017-12-20 8:15,2017-12-20 8:29,31623,Columbus Circle / Union Station,31227,13th St & New York Ave NW,W20529,Member
2017-12-20 8:33,2017-12-20 8:38,31227,13th St & New York Ave NW,31277,17th & G St NW,W20529,Member
2017-12-20 13:43,2017-12-20 13:54,31400,Georgia & New Hampshire Ave NW,31296,Columbia & Ontario Rd NW,W20529,Member
2017-12-20 18:57,2017-12-20 19:06,31296,Columbia & Ontario Rd NW,31401,14th St & Spring Rd NW,W20529,Member
2017-12-21 7:21,2017-12-21 7:32,31401,14th St & Spring Rd NW,31286,11th & O St NW,W20529,Member
2017-12-21 8:01,2017-12-21 8:06,31286,11th & O St NW,31230,Metro Center / 12th & G St NW,W20529,Member
2017-12-21 13:20,2017-12-21 13:33,31230,Metro Center / 12th & G St NW,31616,3rd & H St NE,W20529,Member
2017-12-21 15:26,2017-12-21 15:34,31616,3rd & H St NE,31228,8th & H St NW,W20529,Member
2017-12-21 18:09,2017-12-21 18:38,31228,8th & H St NW,31225,C & O Canal & Wisconsin Ave NW,W20529,Member
2017-12-22 16:14,2017-12-22 16:21,31225,C & O Canal & Wisconsin Ave NW,31014,Lynn & 19th St North,W20529,Member
2017-12-22 16:29,2017-12-22 16:34,31014,Lynn & 19th St North,31077,Iwo Jima Memorial/N Meade & 14th St N,W20529,Member
2017-12-25 12:49,2017-12-25 13:18,31077,Iwo Jima Memorial/N Meade & 14th St N,31247,Jefferson Dr & 14th St SW,W20529,Casual
2017-12-25 13:46,2017-12-25 14:20,31247,Jefferson Dr & 14th St SW,31247,Jefferson Dr & 14th St SW,W20529,Casual
2017-12-26 10:40,2017-12-26 10:53,31123,14th & Girard St NW,31603,1st & M St NE,W20529,Member
2017-12-27 16:56,2017-12-27 17:17,31603,1st & M St NE,31101,14th & V St NW,W20529,Member
2017-12-29 6:02,2017-12-29 6:12,31113,Columbia Rd & Belmont St NW,31298,15th & M St NW,W20529,Member
2017-12-29 12:21,2017-12-29 12:46,31298,15th & M St NW,31242,18th St & Pennsylvania Ave NW,W20529,Casual
2017-12-29 14:32,2017-12-29 14:43,31242,18th St & Pennsylvania Ave NW,31265,5th St & Massachusetts Ave NW,W20529,Member
2017-12-29 15:08,2017-12-29 15:18,31265,5th St & Massachusetts Ave NW,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W20529,Casual
2017-12-29 20:33,2017-12-29 20:38,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31618,4th & East Capitol St NE,W20529,Member
2017-12-30 13:51,2017-12-30 13:54,31618,4th & East Capitol St NE,31610,Eastern Market / 7th & North Carolina Ave SE,W20529,Member
2017-12-30 15:09,2017-12-30 15:19,31610,Eastern Market / 7th & North Carolina Ave SE,31272,Washington & Independence Ave SW/HHS,W20529,Member
