Date,AAPL,IBM,CSCO,MSFT
2004-06-09,30.2,90.089996,23.559999,26.469999
2004-06-10,30.739999,90.459999,23.82,26.77
2004-06-14,30.119998,90.07,23.32,26.9
2004-06-15,30.690001,90.540001,23.639999,27.41
2004-06-16,32.739998,90.379997,23.879999,27.32
2004-06-17,32.81,90.440002,23.360001,27.77
2004-06-18,32.909999,90.059998,23.42,28.35
2004-06-21,32.329999,89.489998,22.870001,28.35
2004-06-22,33.000001,90.019997,23.219999,28.290001
2004-06-23,33.7,90.790001,23.969999,28.299999
2004-06-24,33.179998,89.989998,23.68,28.389999
2004-06-25,33.7,89.550003,23.43,28.57
2004-06-28,32.489999,88.709999,23.299999,28.280001
2004-06-29,32.5,88.290001,23.709999,28.5
2004-06-30,32.54,88.150002,23.700001,28.559999
2004-07-01,32.300002,87.5,23.110001,28.629999
2004-07-02,31.08,87.040001,22.950001,28.57
2004-07-06,30.950001,85.699997,22.370001,28.02
2004-07-07,30.390001,85.349998,22.42,28.1
2004-07-08,30.139999,83.650002,22.17,27.639999
2004-07-09,30.03,83.889999,22.360001,27.860001
2004-07-12,29.139999,84.099998,22.290001,27.889999
2004-07-13,29.220001,85.25,22.139999,27.6
2004-07-14,29.579999,84.129997,22.1,28.129999
2004-07-15,32.929999,84.019997,22.129999,27.870001
2004-07-16,32.199999,84.279999,21.530001,27.48
2004-07-19,31.970001,85.300003,21.360001,27.950001
2004-07-20,32.199999,86.360001,21.879999,28.32
2004-07-21,31.619999,85.300003,21.17,28.860001
2004-07-22,31.680001,86.059998,21.389999,29
2004-07-23,30.699998,84.849998,20.93,28.030001
2004-07-26,31.260001,85.089996,20.540001,28.66
2004-07-27,32.430001,85.879997,20.709999,28.440001
2004-07-28,32.270001,85.849998,20.5,28.58
2004-07-29,32.639999,86.769997,20.799999,28.48
2004-07-30,32.339999,87.07,20.92,28.49
2004-08-02,31.579998,86.690002,21.24,28.52
2004-08-03,31.289999,85.709999,20.74,28.07
2004-08-04,31.79,85.970001,21.120001,28.059999
2004-08-05,31.390001,85.190002,20.610001,27.530001
2004-08-06,29.780001,83.480003,19.93,27.139999
2004-08-09,30.299999,83.550003,20.049999,27.18
2004-08-10,31.52,84.989998,20.459999,27.719999
2004-08-11,31.009999,83.690002,18.290001,27.41
2004-08-12,30.370001,82.209999,17.790001,26.879999
2004-08-13,30.840002,83.910004,17.860001,27.02
2004-08-16,30.78,84.019997,18.23,27.09
2004-08-17,30.869999,84.040001,18.68,27.049999
2004-08-18,31.739999,85.129997,18.99,27.459999
2004-08-19,30.709999,84.889999,19.1,27.120001
2004-08-20,30.800001,85.25,18.879999,27.200001
2004-08-23,31.08,84.650002,19.18,27.24
2004-08-24,31.95,84.709999,18.969999,27.24
2004-08-25,33.049999,85.07,19.32,27.549999
2004-08-26,34.659999,84.690002,19.17,27.440001
2004-08-27,34.349998,84.940002,19.469999,27.459999
2004-08-30,34.12,84.400002,19.030001,27.299999
2004-08-31,34.489998,84.690002,18.76,27.299999
2004-09-01,35.86,84.220001,19.09,27.389999
2004-09-02,35.659998,84.57,19.299999,27.620001
2004-09-03,35.229999,84.389999,18.75,27.110001
2004-09-07,35.760001,84.970001,19.049999,27.360001
2004-09-08,36.350001,85.860001,19.309999,27.26
2004-09-09,35.699999,86.440002,19.93,27.280001
2004-09-10,35.87,86.760002,20.459999,27.49
2004-09-13,35.59,86.489998,20.25,27.25
2004-09-14,35.490001,86.720001,20.35,27.440001
2004-09-15,35.200001,86.370003,19.559999,27.190001
2004-09-16,36.350001,86.120003,19.59,27.26
2004-09-17,37.139999,85.739998,19.16,27.51
2004-09-20,37.709999,85.699997,19.299999,27.51
2004-09-21,38.009999,85.720001,19.65,27.26
2004-09-22,36.920001,84.309998,18.959999,27.120001
2004-09-23,37.269999,83.879997,18.9,27.35
2004-09-24,37.289999,84.43,18.4,27.290001
2004-09-27,37.530001,84.160004,18.040001,27.190001
2004-09-28,38.039999,84.480003,18.07,27.27
2004-09-29,38.680001,84.980003,18.309999,27.58
2004-09-30,38.749999,85.739998,18.1,27.65
2004-10-01,38.670001,86.720001,18.93,28.25
2004-10-04,38.79,87.160004,18.959999,28.120001
2004-10-05,39.37,87.32,19.1,28.379999
2004-10-06,40.639999,88.040001,19.530001,28.530001
2004-10-07,39.619999,87.419998,19.129999,28.17
2004-10-08,39.059999,86.709999,18.780001,27.99
2004-10-11,38.589999,86.629997,18.98,28.059999
2004-10-12,38.289999,86,19.16,28.030001
2004-10-13,39.749999,84.980003,18.860001,28.030001
2004-10-14,44.980001,84.779999,18.59,27.799999
2004-10-15,45.5,84.849998,18.48,27.99
2004-10-18,47.750001,85.919998,18.65,28.41
2004-10-19,47.420001,89.370003,18.700001,28.18
2004-10-20,47.469998,88.82,18.450001,28.700001
2004-10-21,47.939999,88.099998,18.629999,28.559999
2004-10-22,47.41,87.389999,18.27,27.74
2004-10-25,47.55,88.43,18.059999,27.629999
2004-10-26,47.97,89,18.110001,27.9
2004-10-27,50.3,90,18.549999,28.15
2004-10-28,52.19,89.5,18.950001,28.01
2004-10-29,52.400001,89.75,19.209999,27.969999
2004-11-01,52.449999,90.110001,19.26,28.08
2004-11-02,53.5,90.470001,19.290001,28.24
2004-11-03,55.310001,91.199997,19.280001,28.469999
2004-11-04,54.450001,92.379997,19.52,29
2004-11-05,54.720001,93.279999,19.969999,29.309999
2004-11-08,54.38,93.370003,19.969999,29.280001
2004-11-09,54.049999,93.370003,19.75,29.77
2004-11-10,54.750001,93.610001,18.440001,29.73
2004-11-11,55.300001,94.790001,18.74,29.98
2004-11-12,55.499999,95.32,19.26,29.969999
2004-11-15,55.239999,95.919998,19.549999,27.389999
2004-11-16,54.939999,94.889999,19.379999,27.120001
2004-11-17,54.900002,95.459999,19.540001,27.17
2004-11-18,55.389999,95.099998,19.52,27.07
2004-11-19,55.170001,94.449997,19.01,26.860001
2004-11-22,61.350002,95.110001,19.15,26.65
2004-11-23,61.27,95.279999,19,26.530001
2004-11-24,64.049997,95.459999,19.209999,26.639999
2004-11-26,64.550002,94.720001,19.23,26.6
2004-11-29,68.439998,95.5,18.940001,26.77
2004-11-30,67.049999,94.239998,18.75,26.809999
2004-12-01,67.790003,95.879997,19.15,27.25
2004-12-02,65.209997,95.760002,19.200001,27.09
2004-12-03,62.679999,97.080002,19.43,27.23
2004-12-06,65.779997,97.669998,19.82,27.33
2004-12-07,62.889997,96.099998,19.73,27.07
